security_id,security_name,isin
36,APL Apollo Tubes Ltd.,INE702C01019
53,Aditya Birla Capital ltd.,INE674K01013
66,Adlabs Entertainment Limited,INE172N01012
69,Ador Welding Ltd.,INE045A01017
81,Alkem Laboratories Ltd.,INE540L01014
136,Apar Industries Limited,INE372A01015
182,Atul Auto Ltd.,INE951D01028
211,Avanti Feeds Ltd.,INE871C01020
224,Avenue Supermarts Ltd.,INE192R01011
226,BSE Limited,INE118H01025
326,Banco Products (I) Ltd.,INE213C01025
337,C & C Constructions Ltd.,INE874H01015
347,CL Educate Ltd.,INE201M01011
359,Capacit'e Infraprojects Ltd.,INE264T01014
362,Central Depository Services (India) Ltd.,INE736A01011
364,Centum Electronics Ltd.,INE320B01020
404,Cochin Shipyard Ltd.,INE704P01017
419,D.B.Corp Ltd.,INE950I01011
433,Dixon Technologies (India) Ltd.,INE935N01012
456,Dynamatic Technologies Ltd.,INE221B01012
459,ELANTAS BECK INDIA LTD.,INE280B01018
514,Easun Reyrolle Ltd.,INE268C01029
540,Eimco Elecon (India) Ltd.,INE158B01016
565,Emkay Global Financial Services Ltd.,INE296H01011
574,Endurance Technologies Ltd.,INE913H01037
581,Equitas Holdings Ltd.,INE988K01017
591,Everest Industries Ltd.,INE295A01018
604,Fag Bearings India Ltd.,INE513A01014
639,GNA Axles Ltd.,INE934S01014
659,GTPL Hathway Ltd.,INE869I01013
672,Garware Wall Ropes Ltd.,INE276A01018
